tsne-2d-x,tsne-2d-y,mds-2d-x,mds-2d-y,pca-2d-x,pca-2d-y
-33.11317,29.905693,-5181.596529899684,4098.494698961061,-6948.253936371994,-1184.6341582560287
-1.6922152,-29.825657,-1279.3575149972537,4965.420577820095,-5785.277386143455,2321.4786615781095
-17.736958,-52.003254,-1381.6650508241255,1597.9675663613846,-2905.717201933493,125.08790708101215
18.407959,-48.336777,-3414.0889956422698,4971.580165719903,-6826.594777708229,-286.5148471646916
-20.477636,5.133744,-3775.635488884552,1844.9416951816959,-4357.6075738966865,-818.1997950650615
-32.028736,48.670784,-6358.359313615653,5261.620687134236,-8485.199648486341,-1791.9883545667449
53.26838,25.707937,-6450.515441045276,9758.730997159266,-12298.737814363732,-587.6953954889633
-62.21499,0.71497583,10855.268808462786,-18979.308021753335,21023.043734798724,998.4258549235889
-85.03549,-16.31484,42719.97799032559,-60871.186352529956,73572.34319417876,-239.0388878629561
-23.961864,48.68272,-5953.611407897629,5657.078680660642,-8658.250778486212,-929.8079429189945
-5.022637,25.183031,-5252.454756689581,4742.159776989589,-7536.209928520966,-677.1126952631548
9.286704,54.276985,-6982.3005058228655,7716.910012819479,-10847.765368763377,443.6192310707887
-30.929605,-44.248253,173.7370304911573,-905.6550309716332,41.82941481107851,450.67548469811476
-30.054693,47.534447,-6149.6661489242015,5300.47183433455,-8427.928400275187,-1512.4516674576753
-5.5977173,9.613971,-3767.1331493584707,2735.51556752771,-5363.22209675516,935.2373312679468
8.910481,-74.02297,-2875.5273687045656,3275.1753931122157,-5140.58168745787,-844.7859110514328
32.465237,-26.2407,-4221.714755232007,6131.571579466232,-8156.472114885019,-321.8690252456059
11.673122,-16.750267,-2603.9817173609495,6353.003331183161,-7608.7552320030245,1756.0931067330346
-24.930967,50.801655,-6230.431710024494,5906.329383454905,-9001.862227230595,-1126.873910269039
-27.983164,4.959891,-4144.343443476974,1935.5990934169272,-4585.064140400215,-1419.640836207087
1.0956823,-56.864582,-2033.0573236052032,2801.7722774860554,-4274.5910880063275,184.33556320684818
-31.284782,19.454243,-4628.973185617272,3361.917834291768,-6059.069249955465,-1035.6466208932486
47.87107,36.965767,-6694.6532230546045,10656.695807432014,-13283.692748862293,-189.30694768535102
-17.174444,-47.48062,-598.3624804226314,1658.5654900425295,-2583.0340901069494,1204.2943504426644
-13.868992,41.849213,-5925.640723343287,5468.133624728837,-8479.608162732782,-1069.0779578968197
-1.9419724,-57.789795,-2008.8630313135486,2506.910638641691,-4020.415874738136,-41.195747415750674
18.382114,-43.099525,-3584.9512937781587,5774.328468075192,-7561.662202760685,205.5511703477059
-3.9084852,-57.260414,-1763.2562325317954,2144.871210733763,-3604.0443740515134,12.619117025236596
-86.463936,-10.429257,27112.19621195949,-46156.91291140529,52672.04104798879,362.15666159826947
2.329716,48.012234,-6523.070717796738,7038.477442163358,-10100.74636891869,61.75563195097719
33.95872,-53.520412,-3188.5202749582068,4346.77314279022,-6156.6400039756,-350.43245083824036
11.0643,55.789803,-7326.194489239788,8264.579427614002,-11501.786335237464,546.4970146472913
-7.839786,59.98695,-6443.942994571918,6762.007154866177,-9855.811544393811,-611.6667723309628
8.063244,-24.64357,-2329.0967896528073,5155.883211537925,-6434.940301717233,1355.3457488309168
-76.244385,7.6098185,15103.762146101459,-24640.29660627674,28041.252576547715,930.9215397085782
-58.201862,-4.4478993,10006.666818404587,-16342.505411490205,18311.883180158864,1735.4573591669111
70.96757,-2.8800604,-5696.193297132515,7722.036797986384,-10014.782892346444,-1348.7688384967455
-41.600304,-33.819855,1888.4673962824927,-5818.61423040036,5108.561617769966,-450.8025218262595
-23.844696,-51.47279,-909.5841195959794,536.2592240230085,-1753.9000901276568,-9.296169302456748
-6.0791845,41.511765,-5683.170599933683,5380.529072431555,-8303.325401703305,-265.19589472875487
-29.352356,-16.595463,-855.5600343229828,-3036.7242841049656,1357.1096796575207,-921.5539518085058
